圖騰,個人情感特質,情感關係中的盲點,改善關係的建議,需要伴侶了解的重點
藍猴,你喜歡用幽默和玩樂來化解情感緊張，讓大家笑著解決問題。比如當氣氛僵時，你會講笑話或做搞怪動作。,你用幽默化解問題，但有時對方覺得你不夠認真。像是在重要時刻開玩笑，反而讓對方生氣。,適時用幽默緩和氣氛，但要注意時機。吵架時說笑話，要看對方願不願意放下。,我喜歡用幽默化解問題，偶爾開玩笑，但也希望你知道我認真時的樣子。
黃人,你重視情感自由與界線，尊重彼此的空間。比如不會強迫伴侶分享所有感受，但會保持開放態度。,你很尊重彼此自由，可能不太願意承諾，讓對方感覺你疏離。比如朋友問你『要不要穩定交往』，你總是迴避。,尊重彼此的空間和自由，不要強求。比如對方需要獨處時，給予支持而不是緊追不放。,我重視自由和空間，希望你不要太緊迫我，讓我有自己呼吸的空間。
紅天行者,你喜歡情感的冒險和刺激，願意嘗試新鮮的情感體驗。比如愛情中追求激情和新奇感。,你喜歡新鮮感，容易忽略關係的經營。像是熱戀期很狂熱，過了就失去耐心。,嘗試帶對方一起冒險，創造新鮮感。可以計劃短途旅行或一起學新技能。,我愛冒險和新鮮感，希望你能理解我需要不斷探索和挑戰。
白巫師,你情感中帶有神秘感，喜歡用儀式感或特別方式來加深感情。比如用寫信或特別日子慶祝來傳達心意。,你情感有距離感，不容易讓人走近。比如很少分享自己內心真實想法，讓伴侶覺得你神秘又難懂。,用小儀式來增進感情，比如一起點蠟燭、寫感謝卡，讓關係有儀式感。,我喜歡有儀式感的生活方式，這讓我覺得關係特別有意義，希望你能一起參與。
藍鷹,你情感中帶有遠見和智慧，善於看清關係的整體脈絡。比如在衝突時能冷靜分析，找到問題根源。,你太理性，情感時常被壓抑。就像遇到衝突，先冷靜分析，卻忽略了對方的感受。,用宏觀角度看待問題，不要只糾結細節。遇衝突時，問問自己『我們的共同目標是什麼？』,我喜歡規劃和遠見，希望你能跟我一起看長遠的未來。
黃戰士,你情感上勇於直面挑戰，不怕在關係中表達真實感受。比如即使難過也會直接說出來，尋求解決。,你喜歡爭辯和對抗，認為這是溝通方式。比如吵架時堅持要說服對方，結果感情變僵。,勇敢說出內心話，不怕被拒絕。說『我需要你陪我談談』比悶在心裡強多了。,我勇敢直接，喜歡坦誠面對問題，有時可能太激烈，希望你能包容我的熱情。
紅地球,你情感重視共融和安全感，喜歡在穩定中成長。比如家庭生活中注重彼此支持和協作。,你太照顧集體，容易忽略個人情感需求。就像為了家庭和諧，壓抑自己不滿。,多參與團隊活動或家庭聚會，建立共同回憶，強化彼此連結。,我看重家庭和團隊，希望你能和我一起營造溫暖穩定的環境。
白鏡,你在情感上坦承、直言不諱。比如會直接指出伴侶的不足，但同時也期待對方真誠回應。,你誠實直接，但有時會太過尖銳傷人。像是直言不諱批評對方，反而讓關係破裂。,保持誠實但溫柔，用『我感覺……』代替指責。像是說『我覺得被忽略了』，而不是『你從不關心我』。,我很誠實，有時直言不諱，可能會傷人，希望你知道這是為了彼此成長。
藍風暴,你情感強烈且充滿變化，不害怕衝突，喜歡從衝突中淬鍊關係。比如吵架後反而讓感情更堅固。,你情緒起伏大，變化太快讓人不安。比如今天超愛對方，明天卻突然冷淡。,接受關係的變化和波動，把衝突看成成長契機。,我情緒變化大，有時會突然需要空間，請不要誤會我的冷淡。
黃太陽,你情感溫暖開朗，喜歡用陽光和熱情感染他人。比如會經常鼓勵伴侶，帶來正能量。,你太陽光燦爛，有時忽略伴侶的負面情緒。像是對方在難過，你還是想用笑容把氣氛拉回正面，讓對方覺得被忽略。,用正面能量感染對方，多說讚美和感謝，讓關係充滿溫暖。,我喜歡帶給你溫暖和正能量，請多接受我的愛，也願意讓我靠近你。
